,acc_for_train,acc_for_test,processing_time
0_1,1.0,0.9983221476510067,15.174822568893433
0_2,1.0,0.9869542346133614,13.245298385620117
0_3,1.0,0.992326835338034,13.768219470977783
0_4,1.0,0.995537611559711,13.010555982589722
0_5,1.0,0.9799471132657558,12.0220627784729
0_6,1.0,0.9839543967064288,13.168817520141602
0_7,1.0,0.9955901958773459,13.877048254013062
0_8,1.0,0.9860934182590233,13.386341094970703
0_9,1.0,0.9931564539903137,13.20859432220459
1_2,1.0,0.9887795275590551,16.015097856521606
1_3,1.0,0.9897077386153995,16.318345069885254
1_4,1.0,0.9940405244338498,15.275239944458008
1_5,1.0,0.9926009659849964,13.971886157989502
1_6,1.0,0.9982227488151659,15.490529775619507
1_7,1.0,0.9918316355948491,16.762348651885986
1_8,1.0,0.9753846153846154,15.785826444625854
1_9,1.0,0.994484388850586,15.384082078933716
2_3,1.0,0.9564722911497106,13.61588191986084
2_4,1.0,0.979343220338983,13.064060926437378
2_5,1.0,0.968914762741652,12.156529903411865
2_6,1.0,0.9765287864435322,13.563623905181885
2_7,1.0,0.978729931485837,14.420050382614136
2_8,1.0,0.9436917866215072,13.19713306427002
2_9,1.0,0.9830988872559311,13.529972076416016
3_4,1.0,0.990813237289905,13.549164056777954
3_5,1.0,0.9330231551612205,12.559945106506348
3_6,1.0,0.9936721991701245,14.163470268249512
3_7,1.0,0.9787234042553191,15.033337354660034
3_8,1.0,0.9441894429376173,13.619302749633789
3_9,1.0,0.9764072847682119,13.67634105682373
4_5,1.0,0.9853512373765397,12.031023740768433
4_6,1.0,0.9868197278911565,13.199522256851196
4_7,1.0,0.9825521371051001,14.05935549736023
4_8,1.0,0.9892036344200962,12.860550165176392
4_9,1.0,0.9419060744195908,13.118143558502197
5_6,1.0,0.9695767195767195,12.026829242706299
5_7,1.0,0.9909081185153492,12.924428224563599
5_8,1.0,0.9436682191173209,11.728753566741943
5_9,1.0,0.978891820580475,12.076671123504639
6_7,1.0,0.9985636606135221,13.59667158126831
6_8,1.0,0.9812022090059473,12.883536577224731
6_9,1.0,0.9972614282704866,13.03223991394043
7_8,1.0,0.9885484370164036,13.83898138999939
7_9,1.0,0.9249897666803111,13.722299098968506
8_9,1.0,0.9728813559322034,13.188695907592773
